,open,high,low,close,volume,vwap,timestamp,transactions,otc,dt,stk_close,iv
0,5.05,5.12,5.05,5.12,2,5.085,1748010600000,2,,2025-05-23 14:30:00,197.29,0.3654686943788231
1,4.93,4.93,4.75,4.75,212,4.756,1748010720000,7,,2025-05-23 14:32:00,196.66,0.3658057277165394
2,4.7,4.7,4.65,4.65,27,4.683,1748010780000,7,,2025-05-23 14:33:00,196.55,0.36230093211246384
3,4.7,4.75,4.7,4.7,9,4.7222,1748010840000,5,,2025-05-23 14:34:00,196.62,0.3632491825974148
4,4.7,4.75,4.7,4.75,11,4.7045,1748010900000,2,,2025-05-23 14:35:00,196.64,0.36698367958343625
5,4.75,4.75,4.64,4.65,12,4.6775,1748010960000,7,,2025-05-23 14:36:00,196.5512,0.3622919987358012
6,4.6,4.62,4.57,4.57,5,4.596,1748011020000,5,,2025-05-23 14:37:00,196.47,0.3590892854554918
7,4.6,4.6,4.6,4.6,2,4.6,1748011080000,1,,2025-05-23 14:38:00,196.69,0.34971124267571474
8,4.71,4.71,4.65,4.65,16,4.6875,1748011200000,2,,2025-05-23 14:40:00,196.48,0.366313548424944
9,4.61,4.61,4.6,4.6,3,4.6067,1748011260000,3,,2025-05-23 14:41:00,196.38,0.3670085550760297
10,4.53,4.55,4.41,4.41,11,4.4845,1748011320000,11,,2025-05-23 14:42:00,196.16,0.36068133969962757
11,4.44,4.55,4.44,4.51,10,4.49,1748011380000,10,,2025-05-23 14:43:00,196.38,0.3583730077599171
12,4.5,4.5,4.5,4.5,11,4.5,1748011440000,2,,2025-05-23 14:44:00,196.19,0.3677579493705022
13,4.52,4.53,4.46,4.5,14,4.505,1748011500000,5,,2025-05-23 14:45:00,196.32,0.36073043943793703
14,4.52,4.55,4.52,4.55,4,4.535,1748011620000,3,,2025-05-23 14:47:00,196.3512,0.3638825370677271
15,4.65,4.65,4.63,4.63,43,4.6319,1748011740000,4,,2025-05-23 14:49:00,196.45,0.36621359885415916
16,4.57,4.57,4.42,4.42,69,4.492,1748011800000,5,,2025-05-23 14:50:00,196.21,0.35909893434251394
17,4.35,4.41,4.35,4.41,56,4.3552,1748011860000,4,,2025-05-23 14:51:00,196.07,0.3656784205909095
18,4.39,4.4,4.3,4.3,7,4.3486,1748011920000,6,,2025-05-23 14:52:00,195.91,0.3636211461029498
19,4.26,4.35,4.26,4.3,23,4.2865,1748011980000,13,,2025-05-23 14:53:00,195.8593,0.36630591548919555
20,4.3,4.35,4.26,4.26,86,4.2808,1748012040000,20,,2025-05-23 14:54:00,195.79,0.36611404686263405
21,4.2,4.35,4.2,4.3,164,4.2758,1748012100000,45,,2025-05-23 14:55:00,195.825,0.3681413885227782
22,4.27,4.27,4.2,4.25,60,4.2147,1748012160000,17,,2025-05-23 14:56:00,195.7592,0.36679872686967196
23,4.2,4.32,4.2,4.32,61,4.2546,1748012220000,15,,2025-05-23 14:57:00,195.885,0.36695326078176893
24,4.2,4.25,4.2,4.2,66,4.2224,1748012280000,8,,2025-05-23 14:58:00,195.72,0.3640808698131588
25,4.25,4.33,4.25,4.33,21,4.2633,1748012340000,3,,2025-05-23 14:59:00,195.9301,0.3655764281812044
26,4.35,4.43,4.35,4.4,134,4.3894,1748012400000,8,,2025-05-23 15:00:00,196.07,0.36489241879595724
27,4.36,4.4,4.36,4.38,11,4.3827,1748012460000,7,,2025-05-23 15:01:00,196.0843,0.36222450095062
28,4.3,4.48,4.3,4.48,6,4.39,1748012520000,4,,2025-05-23 15:02:00,196.215,0.36483547532018545
